item_id,incubator,location,industry,description
18,HumberLaunch,Toronto,Tech,"HumberLaunch startups are matched with industry experts, entrepreneurs and faculty who work closely with founders to help set key milestones, make connections, and work through challenges common to startups."
19,500 Startups Canada,Toronto,Tech,"500 Startups is a global venture capital seed fund and startup accelerator based in Silicon Valley with over $250M in assets under management. We have invested in a wide variety of technology startups all over the world, currently over 1,500 companies since our inception."
20,School for Social Entrepreneurs Ontario (SSE-O),Toronto,Social,"The School for Social Entrepreneurs Ontario helps people from all backgrounds to transform their passion and talents into sustainable solutions to poverty, social exclusion, environmental stress, and other societal challenges.  SEO offers a non-traditional and unique training model for social entrepreneurs, people with great ideas for non-profits, cooperatives, for-profit ethical businesses, and other social ventures that will benefit their community.  The program offering includes access to a network of mentors, experts, accomplished entrepreneurs, and social investors."
21,ZenLaunchpad,Vancouver,All tech or tech-enabled businesses.,North Vancouver's Premier startup hub and collaborative workspace. We build scalable & thriving businesses.
22,Food Starter,Toronto,Tech,Food Starter focuses on helping early-stage food processors commercialize and scale the development of their food products. Food Starter can increase an entrepreneur’s chances of success in commercializing a food product and offers an array of programs for food entrepreneurs.
23,New Ventures,Vancouver,"IT, IoT, Life Sciences, Food, Manufacturing, etc.","New Ventures BC is a startup accelerator which runs two business acceleration program namely Market Validation Training which is a 3-month long program and the other one is Distance Venture Acceleration program. The firm accepts startups engaged across multiple industries & sectors such as IT, IoT, Life Sciences, Food, Manufacturing, etc. It provides business acceleration programs primarily in France. The company offers $300K in prizes to the best new startups of the programme."
24,LaunchYU,Toronto,Tech,"Think you have the next high potential venture and want to take it to the next level? This 4 month accelerator program is designed to support entrepreneurs as they Build, Launch, and Scale their ventures through bootcamps, workshops, one-on-one mentorship and other services."
25,LaunchYU - York University,Toronto,Tech,"LaunchYU is York University’s entrepreneur program. LaunchYU is focused on supporting early stage entrepreneurship and accelerating startup companies from across Faculties within York University and the surrounding community. The overall goal is to act as a single point of access for faculty members, students, and community members interested in entrepreneurship and to support the development of these entrepreneurs and create investment ready ventures that will lead to the creation of jobs, the development of new products and services and have a positive impact on the economy."
26,UTEST,Toronto,All tech or tech-enabled businesses.,"The UTEST Program provides support to University of Toronto entrepreneurs to create research based companies. In partnership with MaRS Innovation and with the financial support of the Connaught Fund, it provides companies with investment capital, mentoring, business strategy and incubation space at the University of Toronto St. George Campus."
27,University of Toronto - UTEST,Toronto,Software,"The UTEST Program is part of U of T’s growing ecosystem of incubators and commercialization support services. In partnership with MaRS Innovation, it provides nascent software companies with start-up funding, mentoring, business strategy and office space in the MaRS Discovery District facility."
28,University of Toronto I-CUBE,Toronto,Tech,"I-CUBE is the business accelerator at the Institute for Management & Innovation, University of Toronto Mississauga. I-CUBE offers students and community youth early-stage business development and commercialization services including an entrepreneurial curriculum, business advisory services, collaborative space, expert speaker sessions, and a mentorship program."
29,Ryerson University - Design Fabrication Zone,Toronto,Tech,"The Design Fabrication Zone (DFZ) at Ryerson University is an interdisciplinary incubator for design and fabrication, where emerging entrepreneurs build their ideas. From concept development to three-dimensional prototyping and beyond, the DFZ facilitates the incubation and acceleration of project ideas and strategically propels them towards real-life application and business innovation. To date, the DFZ has attracted 400 entrepreneurs and yielded 140 projects, 85 press articles and 18 commercial businesses."
30,Foresight,Vancouver,"Automation, Clean Tech and Manufacturing.",We accelerate Canadian transformative clean technology startups from launch to scale.
31,https://innovationisland.ca/,Vancouver,All tech,"The BC Venture Acceleration Program (VAP) helps early-stage to mature tech, applied science and manufacturing entrepreneurs to grow their companies."
32,University of Toronto - The Hub,Toronto,Tech,"The Hub at the University of Toronto is a student-focused incubator designed to nurture entrepreneurial talent across various industries. Located at U of T’s Scarborough campus, The Hub provides mentorship, workspace, and access to a broad network of industry professionals and academic resources. The program supports early-stage startups by offering guidance on business development, fundraising, and scaling, helping students and recent graduates turn innovative ideas into successful ventures."
33,Blueline Bioscience,Toronto,Biotech,"Blueline Bioscience is a biotech incubator established by Versant Ventures in Toronto, Canada. Headquartered in the MaRS Discovery District of Toronto, Blueline Bioscience works with academic and medical researchers across Canada to translate discoveries into early-stage biotechnology companies"
34,gBETA Toronto,Toronto,Tech,"gBETA is a program of nationally ranked startup accelerator gener8tor. gBETA is a free, seven-week accelerator for early-stage companies with local roots. Each program is capped at five teams, and requires no fees and no equity."
35,https://foresightcac.com/,Vancouver,Clean Tech,Foresight is a not-for-profit corporation that fosters the growth of SMEs that are developing technology that improve environmental results and reduce GHG emissions.
36,League of Innovators,Vancouver,All tech or tech-enabled businesses.,"League of Innovators (LOI) is a national Canadian charity with a goal of building entrepreneurial acumen for youth, at scale. League of Innovators is a suite of accessible programs and tools to provide youth educational experiences that shorten their path to success, empower their ability to be their own boss, and amplify their impact as future innovators and entrepreneurs."
37,Founder Institute,Toronto,Tech,"Founder Institute Toronto is one of the hundred worldwide chapters.  Founder Institute offers a structured, rigorous four-month, evening, training program targeted at high growth entrepreneurs. Founder Institute works with early stage (a prototype and team with no or few sales) to very early stage (in a full-time job, wants to start a business and doesn’t have the idea yet) entrepreneurs. The program is supported by 40 of Toronto’s top CEOs, who act as our mentors. On graduation, founders are ready to join their business full time and move on to other incubators in the city such as MaRS or the DMZ."
38,Hatchery (UoT),Toronto,Tech,"We create startups. Founded in 2012, The Entrepreneurship Hatchery provides a comprehensive suite of programs and services designed to help students with entrepreneurial ambitions form teams, develop new competencies and launch their companies."
39,University of Toronto - The Entrepreneurship Hatchery,Toronto,Tech,The Hatchery serves University of Toronto students looking to start an entrepreneurial venture by providing an ecosystem of resources and relationships to turn your brilliant idea into a viable business.
40,Accelerator Centre,Toronto,Tech,"The Accelerator Centre (AC) is a technology incubator head quartered in Waterloo. The AC helps to build strong, lasting businesses through outstanding client experience and excellence in organizational and product development. The AC has supported more than 200 companies and 93% of program graduates remain thriving businesses."
41,BC Tech Hub,Vancouver,All tech or tech-enabled businesses.,"The BC Tech Hub is the place helping make that happen with a dedicated 26,000 square foot acceleration space where burgeoning tech anchors and enterprise companies have space to connect and learn from one another."
42,Creative Destruction Lab,Toronto,"Prime, Artificial Intelligence, Blockchain, Cities, Health, Quantum Machine Learning and Space.","The Creative Destruction Lab is a seed-stage program for massively scalable, science and technology-based companies. The program employs an objectives-based mentoring process with the goal of maximizing equity-value creation."
43,Vancouver Foundation,Vancouver,Tech,The largest local foundation that provides grants for arts programs and social entrepreneurship projects.
44,Futurpreneur Canada,Vancouver,Tech,Futurpreneur Canada has been fueling the entrepreneurial passions of Canada’s young enterprise for two decades. 
45,Futurpreneur,Vancouver,Tech,"Small business loans of $50,000 and a mentorship program for new business owners."
46,Female Funders,Toronto,Tech,"Despite the fact that women founders are the fastest growing segment of entrepreneurs, women receive a minuscule 2.7% of venture funding. This has a lot to do with who’s on the other side of the table. Diversity of thought in early-stage venture funding leads to better outcomes. Women have untapped industry experience, corporate networks, and accredited investor capital that allow them to have real impact on early stage companies. These women are the future face of venture funding. "
47,Biomedical Zone,Toronto,Tech,"Biomedical Zone is a newly established joint collaboration between Ryerson University and St Michael’s Hospital. Biomedical Zone is: An innovative collaboration space for entrepreneurs, clinicians, and scientists, A domain of clinical immersion for entrepreneurs and biomedical innovators to advance commercial ventures, and A conduit for clinicians and scientists to leverage entrepreneurial resources of the DMZ. "
48,Highline Beta,Toronto,Tech,We work with early-stage companies globally to help them commercialize their products and unlock their next stage of their company’s growth through tailored programming and mentorship.
49,University of Toronto - Department of Computer Science Innovation Lab,Toronto,Tech,"The Department of Computer Science Innovation Lab (DCSIL) at the University of Toronto is an incubator dedicated to fostering innovation in the fields of computer science and technology. DCSIL provides aspiring entrepreneurs, researchers, and students with access to mentorship, cutting-edge resources, and collaboration opportunities with industry experts. Focused on translating research into market-ready solutions, the lab supports startups working on AI, machine learning, software development, and other tech-driven initiatives, offering the tools needed to accelerate growth and bring breakthrough innovations to market."
50,BrightSpark Ventures,Toronto,Tech,"Brightspark are a VC firm that’s been investing in early stage tech companies since 1999. In the last year, they’ve launched a new investment model that allows individual accredited investors to co-invest in every deal."
51,Ripple Ventures,Toronto,Tech,"Employing an ‘ Operator First, Investor Second’ approach to investments, the Fund team brings a proven track record of success in M&A, finance, early-stage investing, and operating and scaling businesses."
52,Harbourfront Centre,Toronto,Tech,"Artist-in-residence, incubator and training facility for emerging graduates working in glass, ceramics, textiles, design and metal/jewellery."
53,ventureLAB,Toronto,"Tech, green energy, I.T","ventureLAB is where talented entrepreneurs get help bringing their innovations to market. We apply a unique combination of mentoring, partnering, and connecting to help pioneering entrepreneurs turn their great ideas into globally competitive businesses with successful start-up business training."
54,INNOV8 Toronto,Toronto,Tech,"For companies like yours, this presents an opportunity to create a unified brand impression across all relevant communication touchpoints in the customer journey. We offer event planners, digital equipment solutions, corporate gifting, catering – everything you need to make a successful event is under one roof."
55,George Brown College - Digital Media and Gaming Incubator,Toronto,Tech,"The Digital Media and Gaming Incubator is part of the School of Design at George Brown College.  The Incubator supports the city’s digital sectors by providing affordable space, business and professional services, technology and human resources. The incubator shares space with the School of Design’s digital programs, occupying 2,000 square feet."
56,Vantec,Vancouver,All Tech,Since 1999 we have been hosting monthly angel investment meetings where 8-12 early stage companies present their business and investment opportunity to an audience of angel investors. We are often the first investor community where startups pitch. We offer entrepreneurs a 90 second preview pitch and the chance to give a full presentation based on investor interest. We introduce all investment opportunity pitches to our network of angel investors across BC and the Pacific Northwest in our free monthly angel investing newsletter.
57,UPPlift: Toronto,Toronto,Tech for cities,"UPPlift is an urban pilot program identifying emergent smart city solutions and facilitating live technology demonstration aimed at resolving city challenges and achieving technology vision statements from or test-beds (private and public sector portfolios). Urban asset owners and managers achieve savings, improved operations and value added features, and the host city becomes a living lab"
58,LatAm Startups,Toronto,Tech,"LatAm Startups is a non-profit organization helping startups to scale. From Latin America to North America through Canada, and from North America to Latin America through Pacific Alliance Countries (Mexico, Colombia, Peru, Chile), Brazil, Argentina & Uruguay in that order."
59,JLABS,Toronto,Life Sciences and Health Tech,We are JLABS. The premier life science incubator empowering and enabling innovators to deliver life-enhancing health and wellness solutions to people around the globe.
60,Empowered Startups,Vancouver,All tech,Empowered Startups is a startup accelerator and incubator which runs a 12 months long program(incubation programme can be further extended up to 24 months). Accepts startups working on a wide range of technologies and sectors. It also offers a Global Accelerator program in Ho Chi Minh City which includes three cohorts that run annually with each cohort 3 months in length. The accelerator runs its programs in Canada.
61,RIC Centre,Toronto,Tech,"As the Entrepreneur and Innovation Hub for Mississauga, Brampton and Caledon, the RIC Centre offers a comprehensive range of support services to entrepreneurs for free, including mentorship and advisory services, hands-on workshops and networking events. Utilizing the expertise of RICC’s Entrepreneurs in Residence, RICC clients receive unparalleled professional guidance every step of the way."
62,Ryerson University - Fashion Zone,Toronto,Textiles,"he Fashion Zone is an incubator for fashion-inspired startups! Working with Ryerson University’s students, alumni, faculty and our growing network of industry professionals, the Fashion zone is focused on launching Canadian fashion businesses. Through a supportive framework and multi-level participant model, the Fashion Zone matches Mentors, Associates and Apprentices to a Fashion zone company, allowing them to apply their existing skills and develop new ones, while accelerating a fashion business. The Fashion Zone also accepts research projects that have a focus on fashion innovation. An extensive resource bank ensures it is able to cater to all fashion-inspired businesses. Ranging from physical equipment, to workspace, mentors and multiple types of advisors, the Fashion Zone helps its clients create and test their products, consult with professionals, commercialize innovative ideas and grow their fashion businesses. s of businesses accepted – Wearable Tech, E-commerce, Mobile Applications, Women’s Wear, Men’s Wear, Children’s Wear, Textile Innovations, Functional Apparel (sport, medical, etc),"
63,Make Lemonade,Toronto,Tech,"Make Lemonade was created because the struggle is real. Tired of jumping from coffee shop to coffee shop with dodgy wifi and limited seating, we set out on a mission to create an office space that lived inside our imagination. Welcome to Make Lemonade, a design-forward coworking environment, where the coffee is strong, the lighting is bright, and phone calls can be made without worrying who might be making a racket beside you."
64,Launch Academy,Vancouver,All tech or tech-enabled businesses. ,"Launch Academy is an early-stage tech incubator that provides entrepreneurs with the mentorship, resources, network and environment they need to launch, fund and grow their startups."
65,Victory Square,Vancouver,All tech,We invest in & help the best entrepreneurs build the tech giants of the next century.
66,Innovate BC,Vancouver,All tech or tech-enabled businesses.,"Innovate BC is a one stop service centre to connect innovators — large and small — with BC government funding, tools, resources and support. "
67,Invoke Digital,Vancouver,All tech/digital products,"Invoke Digital is a Vancouver-based digital innovation studio that specializes in helping startups and established companies bring creative, technology-driven solutions to life. With expertise in product development, design, and digital strategy, Invoke Digital offers end-to-end services that empower businesses to innovate and scale. The studio is known for its collaborative approach, working closely with entrepreneurs to develop customized, impactful digital products and platforms that meet market demands"
68,Spark Centre,Toronto,Tech,"Spark Centre provides free advisory services to early stage or growing innovation and technology companies. Executive coaching, functional advisory, co-location, incubation and day to day operational support are just a few of the services available."
69,DMZ Playbook,Toronto,Tech,"DMZ Playbook is an intensive six month revenue growth and sales execution program for high-potential tech startups looking to infuse growth into their companies with a structured, scalable and repeatable sales process. The goal? To build a revenue growth playbook and help startups become true sales organizations."
70,Haltech,Toronto,Tech,"HalTech is at the nexus of Halton Region’s innovation ecosystem, working with technology companies to accelerate innovation for business growth. We help technology entrepreneurs and companies to connect, collaborate and transform good ideas and product innovations into well positioned, growing ventures. HalTech offers a wide range of FREE services for eligible tech entrepreneurs and businesses: Business accelerating advising, Entrepreneur development, Corporate innovation support, Customized Market Intelligence from MaRS, Access to funding opportunities and Referrals to professional services."
71,TribalScale - Venture Studios,Toronto,Tech,"TribalScale Venture Studios is a new model for corporate innovation labs. A model predicated on partnership, and a model that leverages innovation from both inside and outside of an enterprise. To truly achieve sustained innovation, enterprises need to leverage the smarts and hustle of great entrepreneurs, and they need strong platforms and processes from partners like TribalScale. We are targeting a $100 million program, over 5 years with TribalScale as the majority investor."
72,Innovation York - York University,Toronto,Tech,"Innovation York is the innovation office for York University. The unit provides services to faculty members, trainees, students, industry, and the community in five service streams: agreements, industry liaison, knowledge mobilization, commercialization, and entrepreneurship. Innovation York’s goal is to facilitate and maximize the commercial, economic, and social potential impacts of research and innovation, and to create a culture of engaged scholarship and experiential learning."
73,Community Innovation Lab,Toronto,Tech,"The Community Innovation Lab is where entrepreneurs go for cutting edge, unique training programs to help take their business to the next level. Whether you have a start-up or an established business, Community Innovation Lab programs can help. We are funded by the Ontario Trillium Foundation, Ontario Centres of Excellence and other community partners."
74,Techstars,Toronto,All tech or tech-enabled businesses,"The Techstars Toronto Accelerator is Techstars’ first Canadian accelerator program. It has a horizontal focus & will operate similar to our other city programs. The Toronto-Waterloo/Kitchener startup market is full of innovation, mentors & capital – the exact ingredients for a successful accelerator. Techstars Toronto is delivered in partnership with Real Ventures, Canada’s most active early stage venture fund, for their assistance in making this happen. The program is led by Sunil Sharma, a titan of the Toronto startup ecosystem who has coached many of Toronto's most successful companies."
75,Techstars Toronto Accelerator,Toronto,Tech,"Techstars provides Accelerator portfolio companies with access to financial, human and intellectual capital to fuel the success of their business."
76,Ryerson University - Centre for Urban Energy,Toronto,Urban Energy,"The Innovation Centre for Urban Energy (iCUE) is a business incubator and accelerator focused on urban energy. The purpose is to assist young businesses turn their urban energy ideas into commercially viable products, services, and/or technologies. The iCUE is housed within Ryerson University’s Centre for Urban Energy (CUE). Among the primary goals of the iCUE are research innovation (applied research in collaboration with industry); business innovation (entrepreneurship); and student innovation (experiential learning). It supports the innovation process between ideation and technology development."
77,Canada Media Fund,Vancouver,digital media,"The largest endowment in the country for digital media startups. Raise up to $1,000,000."
78,Canada's Music Incubator,Toronto,Music,"Canada’s Music Incubator (CMI) is a not-for-profit incubator based in Toronto with a mandate to help artists, touring professionals and artist managers evolve from starter companies into sustainable businesses through hands-on networking, mentoring and collaboration. Originally founded by Coalition Music in 2012, CMI established itself as a distinct entity in November 2014."
79,VentureLabs,Vancouver,All tech or tech-enabled businesses.,"SFU VentureLabs® is a world class science and technology accelerator based in Vancouver, BC Canada. "
80,Round 13 Capital,Toronto,Tech,Round 13 is a seasoned team of entrepreneurs and best-of breed domain experts with blockbuster status. Round 13 is Canada’s first and only investor to draw upon the skills and networks of the most successful entrepreneurs. It selectively looks at early stage companies with a proven ability to provide ramp-up capital.
81,MaRS Discovery District,Toronto,Tech,"MaRS Discovery District is one of the world’s largest urban innovation hubs. We help entrepreneurs in the ICT, cleantech and health sectors launch, grow and scale the innovative companies that are building our future—startup ventures with broad economic and societal impact. We work with high-impact, growth-oriented startups, providing expert advice and mentorship, and connections to talent, customer and capital networks. We also offer a range of products and services to help entrepreneurs find the funding they need to grow their business. For those just starting out, MaRS offers a range of free entrepreneurship education programs and online resources—practical learning tools that entrepreneurs around the globe have accessed and applied while starting and building their ventures. "
82,accel-rx,Vancouver,Life and health sciences,"We're here to ensure the health sciences ecosystem in Canada thrives today and flourishes into the future. As Canada’s health innovation accelerator, we give health science start-ups the support they need to transcend innovations into commercialization. This means we enable companies to grow, mature and become investor-ready."
83,DDB Ignite,Vancouver,All tech or tech-enabled businesses. ,DDB Ignite puts the power of Canada’s most celebrated communications agency behind emerging entrepreneurs and start-up companies. We’ve tailored our strategic planning tools and processes to generate business results for start-ups. 
84,entrepreneurship@UBC,Vancouver,"Life Sciences, Core Tech and Social Impact.",Helping UBC entrepreneurials change the world.
85,Expa,Vancouver,All tech or tech-enabled businesses.,We’re a startup studio designed for entrepreneurs to create and launch new companies.
86,HATCH Accelerator,Vancouver,All tech or tech-enabled businesses. ,HATCH is entrepreneurship@UBC's accelerator program designed to take your venture to the next level. We provide you and your team with the support and space you need to ensure your world-changing innovations aren’t left in the lab. 
87,Innovation Boulevard,Vancouver,Life Sciences and Health Tech.,"Through partnership, entrepreneurship, and new technology, our vision is improved health for people and a vibrant network that supports economic growth. Innovation Boulevard brings together the problem solvers from business, health institutions, higher education, and government to introduce new options and drive value."
88,Interface Health,Vancouver,Life Sciences and Health Tech.,"Interface Health is a platform and community that cares about innovators, the future of health and about making a difference in the world. This is where you can find the right solutions, connections and resources, anytime, anywhere – which means faster access, reduced costs, improved experiences and better outcomes for everybody. "
89,TriCelerate,Vancouver,All tech or tech-enabled businesses.," Since 2014, TriCelerate has served as a platform from which entrepreneurs can launch and scale new ventures which empower, motivate and inspire - built for the community by the community."
90,VanTec Angel Tech Network,Vancouver,Tech,A network of local angel investors and early-stage investors who meet monthly to hear startup business pitches.
91, Startup Visa Program,Vancouver,Tech,A Canadian government program to attract foreign entrepreneurs to build their businesses in Canada and employ Canadians.
92,Greenest City Fund,Vancouver,Tech,"Raise up to $70,000 from the city of Vancouver and the Vancouver Foundation to fund projects that benefit local neighbourhoods."
93,https://sba.ubc.ca/bc-business-support-directory/centre4growth,Vancouver,All Tech,"The Centre4Growth is an initiative of the BC Tech Industry Association (BCTIA) and helps  entrepreneurs validate their opportunity, tell their story, make connections and grow their companies.  The CEO-in-Residence program matches entrepreneurs to seasoned tech executives who have earned the scars of success and can help with any business issue."
94,https://www.viatec.ca/cpages/accelerator,Vancouver,All Tech,"To increase the number of successful technology companies that start and grow in the Greater Victoria area. With input and funding from its partners, Accelerate Tectoria provides a structured venture development service designed to guide, coach and grow ambitious early-stage technology entrepreneurs. "
95,EON Accelerator,Toronto,"Community, Product, Retail, and Service-Based.",Progress Starts with People. Explore the Entrepreneur Opportunity Network's Accelerator Program - Ontario’s newest accelerator program for entrepreneurs under 29.
96,Founder Institute Toronto (pre-seed accelerator),Toronto, All tech or tech-enabled businesses.,"The Founder Institute works with entrepreneurs and teams in the pre-seed stage, typically before they are advanced enough to gain acceptance into a seed-accelerator program. The program helps you build an enduring business by providing Toronto startup experts that are invested in your success, and a structured business-building process that has helped alumni raise over $950M. "
97,IDEABOOST,Toronto,Digital Media and Entertainment.,"Accelerating world-class digital media companies and products in Canada. IDEABOOST is a Toronto-based business accelerator and startup community for companies that are building the next generation of technology-based media and entertainment products, services, and brands."
98,The Hub,Toronto,All tech or tech-enabled businesses.,"The Hub is U of T Scarborough’s startup incubator. We help students and recent alumni from all disciplines launch successful business ideas. Located at Highland Hall, we provide our resident entrepreneurs with coaching, workshops, work space, and (where possible) seed capital to get started."
99,The Next 36,Toronto,Tech,"Next 36 is a program that accelerates the growth of Canada’s most talented young entrepreneurs by providing mentorship, capital, and unparalleled founder development. Each year, we choose 36 young Canadian innovators and challenge them to build a new business venture or iterate and scale an existing idea with enormous potential. "
100,1855 Whitby,Toronto,All Tech,1855 Whitby is a technology accelerator where high-potential tech and innovation companies experience individually tailored programming and advisory support to scale to the global stage and achieve exponential growth.
101,Cannjoin,Toronto,Cannabis,"CANNJOIN is an Accelerator and Global Centre of Excellence for Cannabis based out of Toronto, Canada. Through our world-class network, financial support, and access to capital, our founders have already kick-started 15+ companies with a May 2018 market cap of $1.3 billion."
102,Centennial College - Business Innovation and Growth Program,Toronto,Tech,"Grow your business and increase your profitability with our new Business Innovation and Growth Program, with support from the National Research Council of Canada – Industrial Research Assistance Program (NRC-IRAP). Applications for this free program are now being accepted from all eligible SMEs, in order to support them through Innovation and Productivity Services at Centennial College’s Centre of Entrepreneurship"
103,Communitech,Toronto,Tech,"Communitech is an innovation centre in Waterloo Region that supports a community of more than 1,000 tech companies—from startups to rapidly-growing mid-sized companies and large global players. A member of the Ontario Network of Entrepreneurs, which is funded by the Ontario Government, Communitech helps tech companies start, grow and succeed."
104,Communitech Rev,Toronto,Tech,"Communitech Rev is designed for companies that are product-ready but don’t yet have solid sales and marketing strategies in place. Rev starts with a three-month sprint, where companies build and refine their sales and marketing processes with individualized guidance from sales, marketing and product Embedded Executives."
105,Founders Fuse,Toronto,Tech,Our focus at Founders Fuse is to understand the problems startups are attempting to solve from a customer-centric perspective and then support these startups building the right solutions to those customer problems and market needs. The implementation of rapid customer feedback iterations and our constant focus on revenue results in much earlier revenue traction than generally exhibited by most accelerators and incubators.
106,ideaBOOST Canadian Film Centre,Toronto,Tech,"IDEABOOST is a business accelerator with a difference – a bootcamp for technology companies that want to achieve success and scale in the media and entertainment ecosystem. An initiative of the Canadian Film Centre’s Media Lab, in partnership with Corus Entertainment, IDEABOOST provides high–potential Canadian startups with seed investment, mentorship, and access to its network."
107,Infiniti Lab,Toronto,Tech,"INFINITI LAB empowers ambitious startups to reach their full potential. They find driven disruptors, innovators and entrepreneurs, and support them as they turn ideas into action."
108,Launch 180 Accelerator,Toronto,"Retail, Sales and Marketing, Supply Chain, Travel/Hospitality, Entertainment","Launch 180 Accelerator offers a specialized program for  start-ups and ideas that represent a unique solution to a highly defined business problem with significant value implications across a number of vertical categories (Retail, Sales and Marketing, Supply Chain, Travel/Hospitality, Entertainment).  Launch 189 strives to help entrepreneurs and start-ups achieve first revenue within 180 days spend substantially less money in their initial start-up phase."
109,Multiplicity,Toronto,Tech,Toronto-based Multiplicity operates at the intersection between founders and enterprise. We enable founders to build great startups and enterprise to develop innovation. Multiplicity operates a portfolio of accelerator programs with a global reach.
